track_id,song_id,artist_id,artist_name,song_title,genre,dot_match_1_song,dot_match_1_score,dot_match_2_song,dot_match_2_score,dot_match_3_song,dot_match_3_score,centered_match_1_song,centered_match_1_score,centered_match_2_song,centered_match_2_score,centered_match_3_song,centered_match_3_score,correlation_match_1_song,correlation_match_1_score,correlation_match_2_song,correlation_match_2_score,correlation_match_3_song,correlation_match_3_score,cosine_match_1_song,cosine_match_1_score,cosine_match_2_song,cosine_match_2_score,cosine_match_3_song,cosine_match_3_score,tfidf_dot_match_1_song,tfidf_dot_match_1_score,tfidf_dot_match_2_song,tfidf_dot_match_2_score,tfidf_dot_match_3_song,tfidf_dot_match_3_score,tfidf_centered_match_1_song,tfidf_centered_match_1_score,tfidf_centered_match_2_song,tfidf_centered_match_2_score,tfidf_centered_match_3_song,tfidf_centered_match_3_score,tfidf_correlation_match_1_song,tfidf_correlation_match_1_score,tfidf_correlation_match_2_song,tfidf_correlation_match_2_score,tfidf_correlation_match_3_song,tfidf_correlation_match_3_score,tfidf_cosine_match_1_song,tfidf_cosine_match_1_score,tfidf_cosine_match_2_song,tfidf_cosine_match_2_score,tfidf_cosine_match_3_song,tfidf_cosine_match_3_score
TRVYEUW128F148C08D,SOFCCWD12AF72A6BC0,ARXPPEY1187FB51DF4,Michael Jackson,All The Things You Are,blues,Lauryn Hill - Interlude 5,3570.0,Twista - I'm A Winner (Amended Album Version),2865.0,Katy Perry - Hot N Cold (Innerpartysystem Main),2436.0,Lauryn Hill - Interlude 5,3310.5599999999995,Twista - I'm A Winner (Amended Album Version),2695.4475000000034,Katy Perry - Hot N Cold (Innerpartysystem Main),2364.6187500000124,Tony Bennett - You're All The World To Me,586.9574648315192,Patricia Barber - You're The Top,581.7470900840453,Husker Du - You're A Soldier,550.9815342111564,Tony Bennett - You're All The World To Me,0.73913808345401,Patricia Barber - You're The Top,0.7316274421252662,Husker Du - You're A Soldier,0.694669413787504,Aqua - Happy Boys & Girls,108.9526603113107,Flipsyde - Angel,101.61049527314846,Cathy Dennis - Being With You,100.58760870915184,Aqua - Happy Boys & Girls,91.6896816727743,Cathy Dennis - Being With You,85.06942124454166,Michael Jackson - Baby Be Mine,81.05918663573401,Colin James - These Arms Of Mine,267.06144401070907,Big Bad Voodoo Daddy - Please Baby,227.2594360003523,Michael Jackson - Baby Be Mine,211.47184875155406,Colin James - These Arms Of Mine,0.3538237972951243,Big Bad Voodoo Daddy - Please Baby,0.3051595525279233,Michael Jackson - Baby Be Mine,0.30170735811526317
TRCXKPC128F92FD04C,SOEFNXT12AB017E829,ARZENOX1187B98A645,John Mayer,Vultures,blues,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),3132.0,Lauryn Hill - Interlude 5,3012.0,R. Kelly - I Mean (I Don't Mean It),2988.0,R. Kelly - I Mean (I Don't Mean It),2804.21499999999,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),2768.855000000022,Eminem - 8 Mile,2689.944999999965,Naked Aggression - Plastic World,525.4962565410742,Ozma - The Ups And Downs,512.9015607411953,Sage Francis - Keep Moving,490.7792287605998,Naked Aggression - Plastic World,0.6692922727596603,Ozma - The Ups And Downs,0.6557604034160445,Sage Francis - Keep Moving,0.6349611011001333,Lauryn Hill - Interlude 5,246.48258211147055,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),215.6073461275193,Binary Star - Honest Expression,200.281270949443,Matisyahu - Fire and Heights,119.36185905416235,OutKast - Mainstream,114.52732773604771,Barry White - Never Gonna Give You Up,106.12027186592812,Barry White - Never Gonna Give You Up,213.52678100804522,Matisyahu - Fire and Heights,209.26480104521494,Matisyahu - Jerusalem,203.8675861311282,Matisyahu - Fire and Heights,0.34215067325403165,Barry White - Never Gonna Give You Up,0.32940827919320403,Matisyahu - Jerusalem,0.3182902209314574
TRMMALW128F92FD049,SOVUCRS12A58A7D207,ARZENOX1187B98A645,John Mayer,Out Of My Mind,blues,Lauryn Hill - Interlude 5,4597.0,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),3722.0,Twista - I'm A Winner (Amended Album Version),3671.0,Lauryn Hill - Interlude 5,4262.119999999988,Twista - I'm A Winner (Amended Album Version),3452.1450000000336,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),3441.947499999954,Fat Joe - Preacher On A Sunday Morning,533.5458969885245,Calvin Harris - Ready For The Weekend,531.8408031602905,KATAKLYSM - Beyond Salvation,529.5959250935296,Fat Joe - Preacher On A Sunday Morning,0.6782620363865318,Calvin Harris - Ready For The Weekend,0.6750246601106777,KATAKLYSM - Beyond Salvation,0.6703596100206974,Lauryn Hill - Interlude 5,178.61903824220047,Eminem - If I Had,162.4330703476232,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),155.14230418241527,Eminem - If I Had,121.36155582512161,Lauryn Hill - Interlude 5,93.30820818553774,Nelly - Say Now,92.21686539351975,Heatmiser - Half Right,211.8548817360197,Pop Levi - Hades Lady,197.2599981869632,Camper Van Beethoven - Sad Lover's Waltz,195.31844343091365,Heatmiser - Half Right,0.2977239544664077,Eminem - If I Had,0.2921640239717053,Gary Allan - Half Of My Mistakes,0.2764968207302844
TRJWAJC128F9327C4F,SORMDVX12AB01816AA,ARLMXEA1187B9A7D04,R. Kelly,Hump Bounce,blues,Lauryn Hill - Interlude 5,5557.0,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),4567.0,Erykah Badu - I Want You,4088.0,Lauryn Hill - Interlude 5,5091.48000000001,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),4177.696250000063,Erykah Badu - I Want You,3916.908749999934,The Derek Trucks Band - All I Do,526.3367113294621,Avalon - Overjoyed,511.8159833075761,Billie Piper - Day And Night,504.54691060482816,The Derek Trucks Band - All I Do,0.667718031491555,Avalon - Overjoyed,0.6534939234987447,Billie Piper - Day And Night,0.6430239888722205,Dilated Peoples - Ear Drums Pop,207.07762687006073,Ying Yang Twins - 1st Booty On Duty,197.78061056192908,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),196.09871987916367,Dilated Peoples - Ear Drums Pop,131.61633270883777,Afroman - Let's All Get Drunk,127.10593738059657,Ying Yang Twins - 1st Booty On Duty,123.8661701681039,Bowling For Soup - Here We Go,241.13382850898316,Wade Hayes - Don't Stop,235.84414895762117,The Adicts - Disco,234.51652226210823,Bowling For Soup - Here We Go,0.3460019266546869,Wade Hayes - Don't Stop,0.3392556252649811,UB40 - Here I Am (Come And Take Me),0.3313970699904889
TRPEBTH128F9327C4D,SOYTJAC12AF729F49D,ARLMXEA1187B9A7D04,R. Kelly,Intro - The Sermon,blues,Lauryn Hill - Interlude 5,6673.0,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),5569.0,Twista - I'm A Winner (Amended Album Version),5237.0,Lauryn Hill - Interlude 5,6075.000000000047,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),5068.90625000005,Twista - I'm A Winner (Amended Album Version),4846.187500000082,Blues Traveler - Hook,594.4089980604494,G-Unit - I Don't Want To Talk About It,594.2678725975567,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),593.3477381533594,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),0.758552189169887,Blues Traveler - Hook,0.756381455883275,G-Unit - I Don't Want To Talk About It,0.7561220426091677,Lauryn Hill - Interlude 5,386.37062301779605,Michael Jackson - Man In The Mirror,294.5114529659673,Binary Star - Honest Expression,281.14173577404387,Michael Jackson - Man In The Mirror,198.78504720412715,Lauryn Hill - Interlude 5,195.92225239076672,Binary Star - Honest Expression,150.0911754892343,Jennifer Lopez - The Way It Is,226.23048056903178,Beastie Boys - Pass The Mic (Pt. 2_ Skills To Pay The Bills) (2009 Digital Remaster),216.05796444769823,Fiona Apple - Oh Well,210.8576539108219,Beastie Boys - Pass The Mic (Pt. 2_ Skills To Pay The Bills) (2009 Digital Remaster),0.35258464957091423,Lauryn Hill - Interlude 5,0.3430340905035263,Jennifer Lopez - The Way It Is,0.3382566839745338
TRNWHUD128F932E304,SOXUKQZ12AB01860EE,ARXPPEY1187FB51DF4,Michael Jackson,Call On Me,blues,Lauryn Hill - Interlude 5,8789.0,Twista - I'm A Winner (Amended Album Version),7434.0,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),7016.0,Lauryn Hill - Interlude 5,8073.239999999936,Twista - I'm A Winner (Amended Album Version),6966.227500000057,Erykah Badu - I Want You,6740.938749999877,Albert Hammond Jr - G Up,642.1696502811932,Anastacia - Club Megamix,639.0765145784453,Blues Traveler - Hook,633.2932301679722,Albert Hammond Jr - G Up,0.8100800277820065,Anastacia - Club Megamix,0.8097786208426687,Blues Traveler - Hook,0.8019385595698869,Lauryn Hill - Interlude 5,318.7886076067768,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),315.63720227537294,Ryan Leslie - Just Right,271.10241459181435,Ryan Leslie - Just Right,205.5374263589853,Omarion - I'm Gon' Change,150.90112093925777,Eternal - Oh Baby I,150.09015280814768,Ryan Leslie - Just Right,256.7247803416892,Eternal - Oh Baby I,238.17277325593204,Matt Wertz - 5:19,234.98967498577437,Ryan Leslie - Just Right,0.383527295702394,Eternal - Oh Baby I,0.36091538382648203,Matt Wertz - 5:19,0.3492689868880624
TRFGGSX128F427A723,SOIBZAN12D02191BAF,ARS8GNX1187B9B5141,The Black Keys,Oceans and Streams,blues,Lauryn Hill - Interlude 5,2328.0,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),2215.0,Eminem - 8 Mile,1918.0,Lauryn Hill - Interlude 5,2088.7999999999893,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),2014.9624999999817,Eminem - 8 Mile,1767.0375000000213,Manafest - Runaway,563.0599903756464,The Cat Empire - The Car Song,555.9287351985759,Ballboy - I Don't Have Time To Stand Here With You Fighting About The Size Of My Dick,549.1327585939218,Manafest - Runaway,0.7156599537949512,The Cat Empire - The Car Song,0.7093541132995728,Ballboy - I Don't Have Time To Stand Here With You Fighting About The Size Of My Dick,0.7006955849653108,Eminem - 8 Mile,149.5988690591318,Michael Jackson - Man In The Mirror,137.75362349191556,Wu-Tang Clan - Da Mystery Of Chessboxin',131.27990257475392,Michael Jackson - Man In The Mirror,87.07941180321006,Gabrielle - Dreams,83.45261009078996,Pennywise - Living For Today,80.02903595078503,Udo - What Can I Say,189.13449622103542,Gabrielle - Dreams,181.50341785769922,Lemar - Time To Grow,180.14085929983685,Udo - What Can I Say,0.2838778237769648,Lemar - Time To Grow,0.2829780824267779,Gabrielle - Dreams,0.2773085860343168
TRPTCMZ128F9340B09,SOLKOOO12AB018794A,ARS8GNX1187B9B5141,The Black Keys,10 A.M. Automatic,blues,Lauryn Hill - Interlude 5,1913.0,Twista - I'm A Winner (Amended Album Version),1790.0,Michael Jackson - Man In The Mirror,1585.0,Lauryn Hill - Interlude 5,1751.0800000000029,Twista - I'm A Winner (Amended Album Version),1684.1799999999969,Michael Jackson - Man In The Mirror,1446.180000000014,Warrant - Bad Tattoo,515.6890953917824,Doyle Bramhall - Dimples,489.281236806336,Ayo - Only You,483.597405377912,Warrant - Bad Tattoo,0.6552596777324119,Doyle Bramhall - Dimples,0.6187185674368255,Ayo - Only You,0.6164341452711488,Lauryn Hill - Interlude 5,151.9749950372209,OutKast - Hey Ya!,119.41702431327542,Twiztid - She Ain't Afraid,105.885959212277,OutKast - Hey Ya!,97.61469109551871,Lauryn Hill - Interlude 5,86.50047648912704,Ledisi - Alright,81.1244274361494,Fishbone - Bonin' In The Boneyard,320.976455987615,Johnny Winter - Rockin' Pneumonia,266.32025679489306,Percy Sledge - Baby Help Me,232.3897584224884,Fishbone - Bonin' In The Boneyard,0.41092873200223506,Johnny Winter - Rockin' Pneumonia,0.34532516072582653,Percy Sledge - Baby Help Me,0.3228046834011954
TRVKLGW12903CB4523,SOZCSPA12AB0185672,ARS8GNX1187B9B5141,The Black Keys,Aeroplane Blues,blues,Lauryn Hill - Interlude 5,1486.0,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),1480.0,R. Kelly - I Mean (I Don't Mean It),1471.0,R. Kelly - I Mean (I Don't Mean It),1418.0449999999864,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),1375.3650000000214,Kandi - I Wanna Know,1369.060000000009,Johnny Cash - I Don't Know Where I'm Bound,622.9129821270002,LMFAO - I Am Not A Whore,601.551088457224,Sneaky Sound System - 16,597.7615194685227,Johnny Cash - I Don't Know Where I'm Bound,0.7834660807446496,LMFAO - I Am Not A Whore,0.7553117160686514,Sneaky Sound System - 16,0.7532525144739896,The Pharcyde - Otha Fish,69.94024940338288,Eminem - 8 Mile,69.23213744542863,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),66.17074759325435,Tankard - Land Of The Free,53.29514194278783,Ziggy Marley And The Melody Makers - 13 Months Of Sunshine,49.40110303552074,The Pharcyde - Otha Fish,47.872232379480806,Ziggy Marley And The Melody Makers - 13 Months Of Sunshine,267.6149292010178,Jimmy Cliff - Sufferin' In The Land,243.56446884927016,Body Count - Masters Of Revenge,210.99034320825717,Ziggy Marley And The Melody Makers - 13 Months Of Sunshine,0.35608490895083494,Jimmy Cliff - Sufferin' In The Land,0.32122032787994115,The Cave Singers - Elephant Clouds,0.2887049104200339
TRFBNZN128F9340B0E,SONGYFE12AB018562D,ARS8GNX1187B9B5141,The Black Keys,All Hands Against His Own,blues,Lauryn Hill - Interlude 5,2681.0,Twista - I'm A Winner (Amended Album Version),1936.0,Michael Jackson - Man In The Mirror,1542.0,Lauryn Hill - Interlude 5,2362.6800000000258,Twista - I'm A Winner (Amended Album Version),1727.9674999999927,Eminem - My Darling,1312.1587499999937,Brandy - Give Me You,378.7163173620376,Leonard Cohen - The Stranger Song,377.53426215655526,Athlete - New Project,376.3795778294153,Leonard Cohen - The Stranger Song,0.4971205446381256,Brandy - Give Me You,0.4888152706435525,Athlete - New Project,0.4878990560684231,Lyfe Jennings - She Got Kids,301.635553373238,Jill Scott - Brotha,269.3721923276803,Big Brovaz - Find A Way,243.82556760932928,Lyfe Jennings - She Got Kids,252.16260325832772,Jill Scott - Brotha,248.57250050427328,Slipknot - Gehenna,216.47034784588638,Gang Of Four - Outside The Trains Don't Run On Time,368.2799580905092,Jill Scott - Brotha,351.25437826237334,Blink-182 - GO,332.428295171389,Gang Of Four - Outside The Trains Don't Run On Time,0.4779317461993666,Jill Scott - Brotha,0.4585728531941818,Blink-182 - GO,0.4407217351770494
